customer_id,first_name,last_name,email,phone,signup_date,country,is_active
37,Bob,Pham,,944999379.0,2023-12-09,TH,True
38,Eva,Pham,user38@mail.com,,2023-08-23,TH,True
39,Alice,Pham,user39@example.com,919832887.0,2023-09-17,TH,True
40,Frank,Nguyen,user40@mail.com,,2023-03-22,US,True
41,,Nguyen,,999038526.0,2023-03-10,TH,True
42,Bob,,user42@mail.com,,2023-11-06,SG,True
43,Daisy,,,,2023-05-09,VN,True
44,Grace,Le,user44@example.com,,2024-01-30,SG,True
45,Charlie,,user45@example.com,,2023-10-15,VN,True
46,Bob,,user46@mail.com,983227889.0,2023-07-09,,True
47,Grace,Tran,user47@example.com,,2023-01-21,TH,True
48,Daisy,,user48@example.com,,2023-11-14,SG,True
49,Charlie,Tran,user49@example.com,913326769.0,2024-01-13,TH,False
50,Daisy,Le,user50@mail.com,,2023-01-20,US,True
51,Daisy,Pham,,950962024.0,2023-04-25,VN,True
52,Grace,Le,,,2023-06-29,,False
53,,Le,user53@example.com,,2023-04-02,,True
54,Alice,Nguyen,user54@example.com,,2023-08-12,,True
55,Grace,Hoang,user55@mail.com,944188276.0,2023-12-29,US,True
56,,Hoang,user56@mail.com,,2023-02-05,TH,True
57,Bob,,,,2023-12-08,US,True
58,Grace,,,984411983.0,2023-04-09,US,False
59,Charlie,Hoang,,964502486.0,2023-06-05,TH,True
60,Grace,Hoang,,,2023-08-15,SG,False
61,Charlie,,user61@example.com,,2023-02-17,SG,True
62,Daisy,Tran,user62@mail.com,913278320.0,2023-05-06,US,True
63,Henry,Pham,user63@mail.com,,2023-07-24,SG,True
64,Alice,Nguyen,user64@example.com,939372360.0,2023-12-23,,False
65,Alice,Hoang,user65@mail.com,,2023-03-10,US,True
66,Henry,Hoang,user66@example.com,,2023-03-23,US,False
67,Eva,Tran,,,2023-11-17,SG,True
68,Henry,Nguyen,,,2023-06-21,TH,True
69,Charlie,Tran,user69@mail.com,961410126.0,2023-12-28,SG,True
70,Grace,Pham,,,2023-08-01,VN,True
71,Grace,Pham,user71@example.com,,2023-09-02,VN,True
72,Eva,Pham,user72@example.com,982238741.0,2023-09-07,SG,True
73,Grace,Pham,user73@example.com,,2023-12-09,US,True
74,Henry,Tran,user74@example.com,962884503.0,2023-02-12,US,True
75,Henry,Tran,user75@example.com,,2023-06-17,SG,False
76,Frank,Le,user76@example.com,,2023-05-10,VN,False
77,Alice,,user77@example.com,956970882.0,2023-11-29,VN,True
78,Alice,Tran,user78@mail.com,912735359.0,2023-05-03,SG,False
79,Bob,Hoang,user79@mail.com,,2024-01-28,TH,True
80,Bob,Tran,,924508768.0,2023-06-09,,False
81,Grace,,user81@mail.com,920200074.0,2023-02-22,TH,True
82,Alice,Le,user82@example.com,,2023-02-05,,True
83,Alice,Pham,user83@example.com,,2023-07-05,US,True
84,Grace,Tran,,,2023-08-27,US,True
85,Frank,Tran,user85@example.com,,2023-05-05,US,False
86,Frank,Nguyen,user86@example.com,953622663.0,2023-09-07,SG,True
87,Eva,Le,,,2023-10-12,VN,True
88,Bob,Tran,user88@example.com,975575808.0,2023-12-20,US,False
89,Henry,Nguyen,user89@example.com,949491631.0,2023-07-27,SG,True
90,Frank,Pham,,,2023-06-30,US,True
91,Eva,Le,user91@mail.com,926194158.0,2023-06-11,VN,True
92,Daisy,Tran,user92@example.com,,2023-02-21,SG,True
93,Daisy,Le,user93@mail.com,950569669.0,2023-12-29,,True
94,Eva,Nguyen,user94@example.com,,2023-12-24,SG,False
95,Bob,Nguyen,,,2023-08-14,TH,True
96,Alice,Le,user96@example.com,925312516.0,2023-07-25,US,True
97,Alice,Tran,user97@mail.com,,2023-02-13,SG,True
98,,Pham,user98@mail.com,,2023-08-19,US,True
99,Grace,Le,user99@example.com,991823275.0,2024-01-26,SG,True
100,Eva,,user100@example.com,931079846.0,2023-03-30,,True
101,Charlie,Nguyen,user101@example.com,,2023-05-30,VN,True
102,Eva,,,970939053.0,2023-12-18,SG,True
103,Daisy,Pham,user103@example.com,983089925.0,2023-11-28,SG,True
104,Charlie,Nguyen,user104@example.com,,2023-11-01,,True
105,Henry,Nguyen,user105@example.com,,2023-05-20,,False
106,Henry,Nguyen,user106@example.com,,2023-11-06,TH,True
107,Bob,Tran,user107@example.com,946173157.0,2024-01-26,SG,False
108,,,user108@example.com,947333543.0,2023-10-27,US,False
109,Bob,Pham,,,2023-06-14,VN,True
110,Frank,Pham,user110@example.com,,2024-01-25,,True
111,Henry,Nguyen,,,2023-03-01,US,True
112,,Pham,user112@example.com,917275149.0,2023-09-23,TH,False
113,Henry,Nguyen,user113@mail.com,945843681.0,2023-05-28,US,False
114,Bob,Nguyen,user114@mail.com,,2023-10-10,VN,False
115,Bob,Tran,user115@example.com,971934487.0,2023-11-28,SG,False
116,Eva,Hoang,,,2023-08-30,SG,False
117,,Tran,user117@example.com,935583290.0,2023-02-05,TH,False
118,Frank,Hoang,,,2024-01-07,TH,False
119,Charlie,Pham,user119@example.com,,2023-10-10,,False
120,Henry,Le,user120@mail.com,,2023-04-30,US,True
